1775630920.016749,99,99
1775630920.663246,99,99
1775630920.7676823,100,100
1775630921.0372546,99,99
1775630921.5398989,99,99.2
1775630922.039296,99,99.2
1775630922.5425742,99,99.2
1775630923.0426803,99,99.0
1775630923.5402277,99,99.0
1775630924.0443711,100,99.2
1775630924.5459743,98,99.0
1775630925.0441546,99,99.0
1775630925.5453014,99,99.0
1775630926.0456245,99,99.0
1775630926.5455313,99,98.8
1775630927.0471556,99,99.0
1775630927.5488453,100,99.2
1775630928.0477908,99,99.2
1775630928.5467803,99,99.2
1775630929.0470634,99,99.2
1775630929.5521617,100,99.4
1775630930.0524037,100,99.4
1775630930.5498126,102,100.0
1775630931.0516608,97,99.6
1775630931.5540447,98,99.4
1775630932.053959,99,99.2
1775630932.5533905,102,99.6
1775630933.0532582,100,99.2
1775630933.5584698,101,100.0
1775630934.0573478,97,99.8
1775630934.5562599,80,96.0
1775630935.057516,67,89.0
1775630935.5561993,59,80.8
1775630936.057016,59,72.4
1775630936.559903,63,65.6
1775630937.0602252,67,63.0
1775630937.558383,69,63.4
1775630938.059357,73,66.2
1775630938.5615509,74,69.2
1775630939.0615087,78,72.2
1775630939.5614474,79,74.6
1775630940.061891,81,77.0
1775630940.5626702,83,79.0
1775630941.0666015,85,81.2
1775630941.5660794,88,83.2
1775630942.0652473,89,85.2
1775630942.5659356,90,87.0
1775630943.0666578,92,88.8
1775630943.5681064,93,90.4
1775630944.0695055,95,91.8
1775630944.5690014,97,93.4
1775630945.0678985,99,95.2
1775630945.566796,98,96.4
1775630946.0705645,100,97.8
1775630946.5702271,101,99.0
1775630947.0727594,102,100.0
1775630947.5740151,102,100.6
1775630948.0749538,102,101.4
1775630948.5748794,104,102.2
1775630949.075103,105,103.0
1775630949.57952,107,104.0
1775630950.0777264,107,105.0
1775630950.577628,108,106.2
1775630951.0772836,108,107.0
1775630951.5765676,110,108.0
1775630952.0794768,110,108.6
1775630952.579616,110,109.2
1775630953.0792642,111,109.8
1775630953.581078,111,110.4
1775630954.0836778,112,110.8
1775630954.5832205,113,111.4
1775630955.084739,112,111.8
1775630955.5838761,113,112.2
1775630956.084287,114,112.8
1775630956.585721,114,113.2
1775630957.1482801,115,113.6
1775630957.5872445,115,114.2
1775630958.0874555,116,114.8
1775630958.5907621,114,114.8
1775630959.089877,116,115.2
1775630959.589967,115,115.2
1775630960.089838,116,115.4
1775630960.590187,114,115.0
1775630961.0924246,116,115.4
1775630961.5922158,115,115.2
1775630962.0931246,115,115.2
1775630962.5937297,114,114.8
1775630963.0948236,114,114.8
1775630963.5947533,115,114.6
1775630964.0959098,116,114.8
1775630964.5944483,115,114.8
1775630965.0941176,115,115.0
1775630965.5986948,114,115.0
1775630966.0987399,114,114.8
1775630966.5997565,116,114.8
1775630967.0991287,116,115.0
1775630967.6019218,115,115.0
1775630968.101522,126,117.4
1775630968.6016486,121,118.8
1775630969.1025975,120,119.6
1775630969.602383,119,120.2
1775630970.105387,113,119.8
1775630970.605356,120,118.6
1775630971.1047308,120,118.4
1775630971.6044493,120,118.4
1775630972.1080377,120,118.6
1775630972.6084478,124,120.8
1775630973.108678,126,122.0
1775630973.6078022,125,123.0
1775630974.10729,123,123.6
1775630974.6102533,126,124.8
1775630975.1100276,124,124.8
1775630975.6115317,123,124.2
1775630976.1109972,115,122.2
1775630976.6124556,114,120.4
1775630977.118569,114,118.0
1775630977.612345,114,116.0
1775630978.1123872,113,114.0
1775630978.6146057,114,113.8
1775630979.116376,113,113.6
1775630979.615757,112,113.2
1775630980.115816,113,113.0
1775630981.4075456,113,113.0
1775630983.0559754,112,112.6
1775630983.2682593,112,112.4
1775630983.420686,112,112.4
1775630983.5822036,112,112.2
1775630983.7316723,112,112.0
1775630983.874153,112,112.0
1775630984.1222966,112,112.0
1775630984.6214797,112,112.0
1775630985.1213477,111,111.8
1775630985.6217542,110,111.4
1775630986.1247132,111,111.2
1775630986.6248515,111,111.0
1775630987.124391,111,110.8
1775630987.6264052,110,110.6
1775630988.1280227,110,110.6
1775630988.6320872,110,110.4
1775630989.1274533,111,110.4
1775630989.6312222,110,110.2
1775630990.1287386,110,110.2
1775630990.6324127,110,110.2
1775630991.131709,110,110.2
1775630991.633077,109,109.8
1775630992.1324964,109,109.6
1775630992.63447,110,109.6
1775630993.1337473,109,109.4
1775630993.6356528,109,109.2
1775630994.1350086,108,109.0
1775630994.9982007,109,109.0
1775630995.1384354,108,108.6
1775630995.6700182,108,108.4
1775630996.1358845,109,108.4
1775630996.6357045,108,108.4
1775630997.1417682,109,108.4
1775630997.639524,108,108.4
1775630998.1400578,108,108.4
1775630998.6395335,109,108.4
1775630999.1387565,107,108.2
1775630999.642421,109,108.2
1775631000.1422696,107,108.0
1775631000.6431022,109,108.2
1775631001.142038,107,107.8
1775631001.6455517,109,108.2
1775631002.145377,108,108.0
